AuSR,Dataset,File,TR,PSNR,SSIM,TCP,Time
1,3,22,10,29.9522,0.9805,0.019,2.575
1,3,22,20,26.1395,0.9521,0.0743,2.7424
1,3,22,30,24.1413,0.919,0.1554,3.0608
1,3,22,40,22.634,0.8778,0.2617,3.4468
1,3,22,50,21.2878,0.8296,0.3809,4.1871
1,3,22,60,20.076,0.7767,0.5083,5.5939
1,3,22,70,18.818,0.7159,0.643,8.7026
1,3,22,80,17.5721,0.6449,0.7697,17.6629
1,3,23,10,30.3088,0.9709,0.019,2.5743
1,3,23,20,27.2202,0.9404,0.0743,2.7478
1,3,23,30,25.2492,0.9004,0.1554,3.0568
1,3,23,40,23.3462,0.8479,0.2617,3.4454
1,3,23,50,21.7656,0.7819,0.3809,4.1828
1,3,23,60,20.1335,0.6957,0.5083,5.5792
1,3,23,70,18.5781,0.5912,0.643,8.7155
1,3,23,80,17.1102,0.4766,0.7697,17.6434
1,3,24,10,31.2769,0.9731,0.019,2.5661
1,3,24,20,26.6202,0.9316,0.0743,2.7849
1,3,24,30,24.2123,0.8836,0.1554,2.9893
1,3,24,40,21.9055,0.8182,0.2617,3.4526
1,3,24,50,20.0518,0.7384,0.3809,4.2324
1,3,24,60,18.5364,0.6443,0.5083,5.559
1,3,24,70,16.9558,0.5286,0.643,8.8212
1,3,24,80,15.4543,0.4049,0.7697,17.6815
1,3,25,10,34.8388,0.9783,0.019,2.5767
1,3,25,20,30.9721,0.9522,0.0743,2.7701
1,3,25,30,28.6102,0.9255,0.1554,3.0921
1,3,25,40,26.7907,0.8914,0.2617,3.4595
1,3,25,50,24.7195,0.847,0.3809,4.1958
1,3,25,60,22.8151,0.7933,0.5083,5.598
1,3,25,70,20.8461,0.7221,0.643,8.7094
1,3,25,80,18.7601,0.6335,0.7697,17.7133
1,3,26,10,33.9888,0.9859,0.019,2.6005
1,3,26,20,29.8221,0.9679,0.0743,2.7418
1,3,26,30,26.9469,0.9434,0.1554,3.0149
1,3,26,40,24.7854,0.9121,0.2616,3.5002
1,3,26,50,22.9045,0.8722,0.3809,4.2168
1,3,26,60,21.0834,0.8242,0.5083,5.5854
1,3,26,70,19.198,0.7578,0.643,8.7517
1,3,26,80,17.168,0.6704,0.7697,17.6489
1,3,27,10,33.3826,0.9696,0.019,2.5877
1,3,27,20,28.7842,0.9437,0.0742,2.7934
1,3,27,30,25.9441,0.91,0.1554,3.1161
1,3,27,40,24.1711,0.8734,0.2617,3.5294
1,3,27,50,22.5759,0.8288,0.3808,4.2773
1,3,27,60,21.2335,0.7783,0.5083,5.5503
1,3,27,70,19.8365,0.7109,0.643,8.724
1,3,27,80,18.4312,0.6372,0.7697,17.6044
1,3,28,10,27.5023,0.9573,0.019,2.6137
1,3,28,20,25.7834,0.9291,0.0743,2.7883
1,3,28,30,24.7663,0.8996,0.1554,3.0909
1,3,28,40,23.6589,0.8592,0.2617,3.4654
1,3,28,50,22.6833,0.8173,0.3809,4.2756
1,3,28,60,21.6224,0.7684,0.5083,5.596
1,3,28,70,20.3845,0.7048,0.643,8.7674
1,3,28,80,18.955,0.627,0.7697,17.7004
1,3,29,10,32.6291,0.9727,0.0194,2.6042
1,3,29,20,29.1813,0.9449,0.074,2.7665
1,3,29,30,26.7587,0.9101,0.1546,3.0635
1,3,29,40,24.7955,0.8687,0.2611,3.5121
1,3,29,50,23.2627,0.8244,0.3806,4.2135
1,3,29,60,21.527,0.7654,0.5085,5.5679
1,3,29,70,20.0466,0.6959,0.6422,8.5597
1,3,29,80,18.3956,0.6138,0.7694,17.0888
1,3,30,10,31.4992,0.9739,0.019,2.6143
